id,publishedAt,channelId,title,channelTitle,tags,categoryId,duration,viewCount,likeCount,commentCount
vQ88JB-lgtQ,2024-02-12T02:54:16Z,UCIrgJInjLS2BhlHOMDW7v0g,"""Well Said"" | Big Game Spot | Disney+",Disney Plus,"['Disney+', 'Disney Plus', 'Disney', 'streaming']",22,PT31S,2889533,1958,309
HjP7A2AWgZI,2024-02-11T23:35:30Z,UCi8e0iOVk1fEOogdfu4YgfA,Kung Fu Panda 4 Super Bowl TV Spot (2024),Rotten Tomatoes Trailers,"['Kung Fu Panda 4', 'Kung Fu Panda 4 2024', 'Kung Fu Panda 4 Movie', 'Kung Fu Panda 4 Movie 2024', 'Kung Fu Panda', 'Kung Fu Panda Movie', 'Kung Fu Panda 4 Trailer', 'Kung Fu Panda 4 New trailer', 'Kung Fu Panda 4 Trailer 1', 'Kung Fu Panda 4 Movie Trailer', 'Kung Fu Panda 4 Official Movie Trailer', 'Kung Fu Panda 4 Movie Trailer 2024', 'Kung Fu Panda 4 Jack Black', 'Jack Black']",1,PT30S,99777,1812,0
AJNUI0WqEdE,2024-02-12T03:21:18Z,UCq0OueAsdxH6b8nyAspwViw,Monkey Man | Elevator,Universal Pictures,[],24,PT31S,158856,5076,197
DTLM5o-9hYg,2024-02-12T03:03:52Z,UCXQ7Gzszfuw84cEWGpKlFiQ,DoorDash | DoorDash All the Ads - :30,DoorDash,"['DoorDash', 'delivery', 'restaurant', 'on-demand', 'food']",28,PT31S,209314,994,2200
lWVFBkx8_4E,2024-02-11T14:09:08Z,UC4aAdHyFHHMz48k2fNQAUGg,Homes.com | Quick question,Homes.com,[],22,PT31S,27842,81,15
ubSnD737JaM,2024-02-10T18:41:38Z,UCZMzrsDVmBL8Vn4SAjc4-uQ,Bass Pro Shops 2024 Super Bowl Commercial - Making Memories On The Water,Bass Pro Shops,"['bass pro shops', 'bass pro', 'bass pro shop', 'bass pro fishing', 'bass fishing']",17,PT31S,100214,189,
qoER8XCOPaM,2024-02-11T14:08:40Z,UC4aAdHyFHHMz48k2fNQAUGg,Homes.com | So tell us about this corn festival?,Homes.com,[],22,PT16S,24488498,15,2
JRadjMeUKko,2024-02-12T02:00:06Z,UCF9imwPMSGz4Vq1NiTWCC7g,"IF | Big Game Spot (2024 Movie) - Ryan Reynolds, John Krasinski, Steve Carell",Paramount Pictures,[],1,PT31S,154989,1198,123
r7jpCZ1ju9I,2024-02-12T02:01:16Z,UCDF1rHyRH8LcxbHX5_mrZ0w,Can’t B Broken,Verizon,"['BOTUS', 'Barbey', 'Barbie', 'Beyoncé', 'Beyoncé extended version', 'Beyoncé songs', 'Lemonade', 'Reneigh', 'Super Bowl', 'Super Bowl Ads', 'TonyHale', 'Usher', 'YouTube Music', 'break', 'half time performance', 'music video', 'vevo']",17,PT1M1S,222223,4640,203
Ve2miT5iF2M,2024-02-12T02:40:27Z,UC6p8ND29iGJGr-Etl3-3PJA,"Dunkin’ ‘The DunKings’ ft Ben Affleck, Matt Damon, Tom Brady, Jack Harlow, Jennifer Lopez, & Fat Joe",Dunkin',[],19,PT1M1S,4786710,25615,1958
7glIC7OaIro,2024-02-12T01:38:57Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL Super Bowl LVIII || Born to Play,NFL,"['NFL', 'Football', 'American Football', 'sport', 'sports']",17,PT2M27S,612663,3077,292
PwExDWArh2Y,2024-03-14T04:36:20Z,UC5fsTA7ZSLf513EUdUX8sPA,Who is My Neighbor?,He Gets Us,[],24,PT31S,6697,50,16
4mPKDEfo0UM,2024-02-03T18:36:42Z,UC5o3WrC46mHoVOnkmAo9h2g,Pluto TV Couch Potato Farms,Pluto TV,[],24,PT1M1S,3603364,2188,205
5Od0aOse1wc,2024-02-12T09:53:19Z,UCkmEIhdd0mgRkDfGLz8BayQ,Temu's Big Game Ad Encore TV Commercial 2024,Temu,[],22,PT30S,159445853,10051,3920
vAf5TjiUJgo,2024-02-12T00:07:45Z,UCxeBIoLvY8Z-HUwlbbg1wNA,Michael CeraVe,CeraVe Skincare,[],26,PT31S,3310450,16119,1006
JjLr4bdLPIs,2024-02-05T13:28:48Z,UCJOwq_trsKYpVWUpGuXeyAg,E*TRADE Baby Commercial - Picklebabies,E*TRADE from Morgan Stanley,[],27,PT31S,9759521,1164,64
p8ZYgb8Osek,2024-02-12T00:18:36Z,UCsjj_YdoShWrnAHrgN9ud-g,Like a Good Neighbaaa (:60) | feat. Arnold Schwarzenegger & Danny DeVito | State Farm® Commercial,State Farm Insurance,"['state farm', 'arnold schwarzenegger', 'agent state farm', 'insurance', 'tv commercial', 'movie trailer', 'like a good neighbor', 'jake from state farm', 'state farm is there', 'car insurance', 'home insurance', 'there may be one', 'new movie', 'upcoming movie', 'hollywood blockbuster', 'action hero', 'helping others', 'here to help', 'lost everything', 'red oval films', 'red polo', 'khakis', 'cinema', 'coming soon', 'theater', 'action movie', 'movie star', ""i'll be back"", 'get to the choppa', 'bodybuilder', 'thrills', 'Danny DeVito']",2,PT1M1S,867903,4921,383
